Vgs,Ids,finger,width
0.975,0.057650989870436105,4.0,25.0
1.0,0.05925260904747603,4.0,25.0
1.025,0.060689178788822545,4.0,25.0
1.05,0.06196125466270122,4.0,25.0
1.075,0.0630693292555185,4.0,25.0
1.1,0.06401383184504189,4.0,25.0
1.125,0.06479512829186092,4.0,25.0
1.15,0.06541352103998452,4.0,25.0
1.175,0.06586924916403085,4.0,25.0
1.2,0.06616248842566594,4.0,25.0
0.0,2.8561558034006125e-27,4.0,50.0
0.025,7.835023936653206e-26,4.0,50.0
0.05,2.149308522134479e-24,4.0,50.0
0.075,5.895996184145968e-23,4.0,50.0
0.1,1.617393252083728e-21,4.0,50.0
0.125,4.4368429866358524e-20,4.0,50.0
0.15,1.2171174612419337e-18,4.0,50.0
0.175,3.338804007538777e-17,4.0,50.0
0.2,9.159027419902504e-16,4.0,50.0
0.225,2.512509961324864e-14,4.0,50.0
0.25,6.892332576751969e-13,4.0,50.0
0.275,1.8907088560693342e-11,4.0,50.0
0.3,5.186604009997611e-10,4.0,50.0
0.325,1.4227923564532185e-08,4.0,50.0
0.35,3.903012341089789e-07,4.0,50.0
0.375,1.0706745515503295e-05,4.0,50.0
0.4,0.0002045867044922182,4.0,50.0
0.425,0.0009872203104775575,4.0,50.0
0.45,0.002679103120835058,4.0,50.0
0.475,0.005484441443940999,4.0,50.0
0.5,0.009458254160535234,4.0,50.0
0.525,0.014499209559504756,4.0,50.0
0.55,0.020363874842186717,4.0,50.0
0.575,0.026700192827929264,4.0,50.0
0.6,0.033135131884179346,4.0,50.0
0.625,0.0395541746422804,4.0,50.0
0.65,0.045956995152034205,4.0,50.0
0.675,0.05234365483129684,4.0,50.0
0.7,0.05871421478827568,4.0,50.0
0.725,0.0650687358234784,4.0,50.0
0.75,0.07140727843164721,4.0,50.0
0.775,0.07762491714190356,4.0,50.0
0.8,0.08351942610385951,4.0,50.0
0.825,0.08907342851947314,4.0,50.0
0.85,0.0942870018068251,4.0,50.0
0.875,0.09916154981393879,4.0,50.0
0.9,0.10369871483386864,4.0,50.0
0.925,0.1079001426078113,4.0,50.0
0.95,0.11176740690536768,4.0,50.0
0.975,0.11530197974087221,4.0,50.0
1.0,0.11850521809495206,4.0,50.0
1.025,0.12137835757764509,4.0,50.0
1.05,0.12392250932540244,4.0,50.0
1.075,0.126138658511037,4.0,50.0
1.1,0.12802766369008378,4.0,50.0
1.125,0.12959025658372184,4.0,50.0
1.15,0.13082704207996904,4.0,50.0
1.175,0.1317384983280617,4.0,50.0
1.2,0.13232497685133188,4.0,50.0
0.0,4.28423370510098e-27,4.0,75.0
0.025,1.1752535904979896e-25,4.0,75.0
0.05,3.2239627832017647e-24,4.0,75.0
0.075,8.843994276219015e-23,4.0,75.0
0.1,2.4260898781256105e-21,4.0,75.0
0.125,6.655264479953874e-20,4.0,75.0
0.15,1.8256761918629133e-18,4.0,75.0
0.175,5.0082060113081834e-17,4.0,75.0
0.2,1.3738541129853856e-15,4.0,75.0
0.225,3.7687649419873106e-14,4.0,75.0
0.25,1.0338498865127995e-12,4.0,75.0
0.275,2.8360632841040123e-11,4.0,75.0
0.3,7.779906014996443e-10,4.0,75.0
0.325,2.134188534679832e-08,4.0,75.0
0.35,5.85451851163469e-07,4.0,75.0
0.375,1.606011827325495e-05,4.0,75.0
0.4,0.00030688005673832735,4.0,75.0
0.425,0.0014808304657163362,4.0,75.0
0.45,0.004018654681252587,4.0,75.0
0.475,0.008226662165911499,4.0,75.0
0.5,0.014187381240802852,4.0,75.0
0.525,0.021748814339257135,4.0,75.0
0.55,0.030545812263280073,4.0,75.0
0.575,0.040050289241893904,4.0,75.0
0.6,0.04970269782626902,4.0,75.0
